home,score,away,year
Qatar,,Ecuador,2022
Senegal,,Holland,2022
England,,Iran,2022
USA,,Wales,2022
Argentina,,Saudi Arabia,2022
Mexico,,Poland,2022
France,,Australia,2022
Denmark,,Tunisia,2022
Spain,,Costa Rica,2022
Germany,,Japan,2022
Belgium,,Canada,2022
Morocco,,Croatia,2022
Brazil,,Serbia,2022
Switzerland,,Cameroon,2022
Portugal,,Ghana,2022
Uruguay,,South Korea,2022
Qatar,,Senegal,2022
Holland,,Ecuador,2022
England,,USA,2022
Wales,,Iran,2022
Argentina,,Mexico,2022
Poland,,Saudi Arabia,2022
France,,Denmark,2022
Tunisia,,Australia,2022
Spain,,Germany,2022
Japan,,Costa Rica,2022
Belgium,,Morocco,2022
Croatia,,Canada,2022
Brazil,,Switzerland,2022
Cameroon,,Serbia,2022
Portugal,,Uruguay,2022
South Korea,,Ghana,2022
Holland,,Qatar,2022
Ecuador,,Senegal,2022
Wales,,England,2022
Iran,,USA,2022
Poland,,Argentina,2022
Saudi Arabia,,Mexico,2022
Tunisia,,France,2022
Australia,,Denmark,2022
Japan,,Spain,2022
Costa Rica,,Germany,2022
Croatia,,Belgium,2022
Canada,,Morocco,2022
Cameroon,,Brazil,2022
Serbia,,Switzerland,2022
South Korea,,Portugal,2022
Ghana,,Uruguay,2022
1A,,2B,2022
1C,,2D,2022
1B,,2A,2022
1D,,2C,2022
1E,,2F,2022
1G,,2H,2022
1F,,2E,2022
1H,,2G,2022
W49,,W50,2022
W53,,W54,2022
W51,,W52,2022
W55,,W56,2022
W57,,W58,2022
W59,,W60,2022
L61,,L62,2022
W61,,W62,2022
