home,score,away
France,4–1,Mexico
Argentina,1–0,France
Chile,3–0,Mexico
Chile,1–0,France
Argentina,6–3,Mexico
Argentina,3–1,Chile
Yugoslavia,2–1,Brazil
Yugoslavia,4–0,Bolivia
Brazil,4–0,Bolivia
Romania,3–1,Peru
Uruguay,1–0,Peru
Uruguay,4–0,Romania
United States,3–0,Belgium
United States,3–0,Paraguay
Paraguay,1–0,Belgium
Argentina,6–1,United States
Uruguay,6–1,Yugoslavia
Uruguay,4–2,Argentina
Soviet Union,0–1 (a.e.t.),Uruguay
Italy,4–1,Mexico
Brazil,4–2,Peru
West Germany,3–2 (a.e.t.),England
Uruguay,1–3,Brazil
Italy,4–3 (a.e.t.),West Germany
Uruguay,0–1,West Germany
Brazil,4–1,Italy
Spain,3–1,Brazil
Switzerland,1–1 (a.e.t.),Germany
Brazil,5–0,Mexico
England,0–0,Uruguay
Brazil,4–0,Mexico
Uruguay,2–1,Colombia
Argentina,1–3,West Germany
Hungary,4–2,Egypt
Switzerland,3–2,Netherlands
Italy,7–1,United States
Czechoslovakia,2–1,Romania
Sweden,3–2,Argentina
Austria,3–2 (a.e.t.),France
Germany,5–2,Belgium
Austria,2–1,Hungary
Italy,1–1 (a.e.t.),Spain
Germany,2–1,Sweden
Czechoslovakia,3–2,Switzerland
Italy,1–0,Spain
Hungary,6–0,Dutch East Indies
Sweden,w/o[a],Austria
Cuba,3–3 (a.e.t.),Romania
France,3–1,Belgium
Italy,2–1 (a.e.t.),Norway
Brazil,6–5 (a.e.t.),Poland
Czechoslovakia,3–0 (a.e.t.),Netherlands
Switzerland,4–2,Germany
Cuba,2–1,Romania
Hungary,2–0,Switzerland
Sweden,8–0,Cuba
Italy,3–1,France
Yugoslavia,1–0,France
Brazil,1–1 (a.e.t.),Yugoslavia
France,3–2,Mexico
West Germany,4–1,Turkey
Hungary,9–0,South Korea
Hungary,8–3,West Germany
Turkey,7–0,South Korea
West Germany,7–2,Turkey
Uruguay,2–0,Czechoslovakia
Austria,1–0,Scotland
Uruguay,7–0,Scotland
Austria,5–0,Czechoslovakia
Switzerland,2–1,Italy
France,1–1,Mexico
Uruguay,2–1,France
England,2–0,Mexico
Mexico,0–0,Uruguay
England,2–0,France
West Germany,5–0,Switzerland
Argentina,2–1,Spain
Spain,2–1,Switzerland
Argentina,0–0,West Germany
Argentina,2–0,Switzerland
West Germany,2–1,Spain
Brazil,2–0,Bulgaria
Portugal,3–1,Hungary
Yugoslavia,3–0,Switzerland
Brazil,2–2,Switzerland
Yugoslavia,4–1,Mexico
Brazil,2–0,Yugoslavia
Switzerland,2–1,Mexico
England,2–0,Chile
Spain,3–1,United States
Spain,2–0,Chile
United States,1–0,England
Soviet Union,2–0,Yugoslavia
Yugoslavia,3–1,Uruguay
Soviet Union,4–4,Colombia
Soviet Union,2–1,Uruguay
Yugoslavia,5–0,Colombia
Chile,3–1,Switzerland
West Germany,0–0,Italy
Chile,2–0,Italy
West Germany,2–1,Switzerland
West Germany,2–0,Chile
Italy,3–0,Switzerland
Northern Ireland,1–0,Czechoslovakia
West Germany,2–2,Czechoslovakia
Argentina,3–1,Northern Ireland
West Germany,2–2,Northern Ireland
Czechoslovakia,6–1,Argentina
Northern Ireland,2–1 (a.e.t.),Czechoslovakia
France,7–3,Paraguay
Yugoslavia,1–1,Scotland
Yugoslavia,3–2,France
Paraguay,3–2,Scotland
Italy,1–0,Austria
Czechoslovakia,3–1,Germany
Germany,3–2,Austria
Italy,2–1 (a.e.t.),Czechoslovakia
Brazil,1–1 (a.e.t.),Czechoslovakia
Brazil,2–1,Czechoslovakia
Hungary,5–1,Sweden
Italy,2–1,Brazil
Brazil,4–2,Sweden
Italy,4–2,Hungary
England,4–4 (a.e.t.),Belgium
Italy,4–1,Belgium
England,2–0,Switzerland
Switzerland,4–1,Italy
Austria,7–5,Switzerland
Uruguay,4–2,England
West Germany,2–0,Yugoslavia
Hungary,4–2,Brazil
West Germany,6–1,Austria
Hungary,4–2 (a.e.t.),Uruguay
Austria,3–1,Uruguay
West Germany,3–2,Hungary
Hungary,3–1,Brazil
Portugal,3–0,Bulgaria
Portugal,3–1,Brazil
Hungary,3–1,Bulgaria
Soviet Union,3–0,North Korea
Italy,2–0,Chile
Chile,1–1,North Korea
Soviet Union,1–0,Italy
North Korea,1–0,Italy
Soviet Union,2–1,Chile
England,1–0,Argentina
West Germany,4–0,Uruguay
Spain,1–0,England
Chile,5–2,United States
Sweden,3–2,Italy
Sweden,2–2,Paraguay
Italy,2–0,Paraguay
Uruguay,8–0,Bolivia
Uruguay,2–2,Spain
Brazil,7–1,Sweden
Brazil,6–1,Spain
Uruguay,3–2,Sweden
Sweden,3–1,Spain
Brazil,2–0,Mexico
Czechoslovakia,1–0,Spain
Brazil,0–0,Czechoslovakia
Spain,1–0,Mexico
Brazil,2–1,Spain
Mexico,3–1,Czechoslovakia
Argentina,1–0,Bulgaria
Hungary,2–1,England
England,3–1,Argentina
Hungary,6–1,Bulgaria
Hungary,0–0,Argentina
England,0–0,Bulgaria
France,2–1,Scotland
Paraguay,3–3,Yugoslavia
Sweden,3–0,Mexico
Hungary,1–1,Wales
Mexico,1–1,Wales
Sweden,2–1,Hungary
Sweden,0–0,Wales
Hungary,4–0,Mexico
Wales,2–1,Hungary
Brazil,3–0,Austria
Soviet Union,2–2,England
