result,mean_10_home_goal,mean_10_home_possesion_pct,mean_10_home_shot_on_goal,mean_10_home_shot,mean_10_home_corner,mean_10_away_goal,mean_10_away_possesion_pct,mean_10_away_shot_on_goal,mean_10_away_shot,mean_10_away_corner
3,2.0,0.5,5.0,16.0,11.0,1.0,0.5,2.0,8.0,3.0
3,3.0,0.68,11.0,34.0,12.0,1.0,0.32,3.0,7.0,3.0
1,1.0,0.44,5.0,9.0,3.0,1.0,0.56,1.0,6.0,3.0
1,2.0,0.69,6.0,25.0,3.0,2.0,0.31,5.0,9.0,2.0
3,3.0,0.62,6.0,20.0,7.0,0.0,0.38,1.0,5.0,2.0
0,0.0,0.53,0.0,8.0,1.0,4.0,0.47,7.0,15.0,6.0
0,1.0,0.45,4.0,18.0,10.0,2.0,0.55,3.0,10.0,5.0
3,3.0,0.66,10.0,29.0,9.0,0.0,0.34,2.0,8.0,5.0
0,1.0,0.5,5.0,17.0,4.0,2.0,0.5,6.0,13.0,6.0
0,0.0,0.64,2.0,26.0,14.0,1.0,0.36,3.0,7.0,2.0
1,1.0,0.61,2.5,22.0,9.0,1.5,0.45499999999999996,3.0,10.5,4.0
3,3.0,0.57,7.0,8.0,8.0,2.0,0.43,3.0,12.0,4.0
3,3.0,0.48,7.0,18.0,4.0,0.0,0.52,3.0,11.0,5.0
0,0.0,0.43,5.0,12.0,6.0,4.0,0.57,6.0,13.0,7.0
1,0.0,0.55,2.0,12.0,5.0,0.0,0.45,2.0,8.0,4.0
1,1.0,0.49,2.0,12.0,6.0,1.0,0.51,7.0,16.0,8.0
1,0.0,0.55,5.0,18.0,7.0,0.0,0.45,3.0,4.0,1.0
0,0.0,0.51,5.0,16.0,9.0,1.0,0.49,4.0,15.0,5.0
3,1.3333333333333333,0.5733333333333334,4.0,19.333333333333332,7.0,1.0,0.53,3.5,9.0,6.0
1,0.0,0.38,0.0,4.0,2.0,0.0,0.62,7.0,18.0,6.0
0,0.0,0.4,3.0,9.0,2.0,2.0,0.6,6.0,18.0,7.0
3,2.0,0.46,5.0,15.0,3.0,1.0,0.54,3.0,13.0,1.0
1,2.0,0.595,9.5,29.5,10.5,2.5,0.48,4.5,10.0,5.0
0,1.0,0.615,3.0,15.5,5.0,1.5,0.32,3.5,9.5,2.5
1,0.5,0.485,4.5,12.5,6.5,1.0,0.485,5.5,11.0,6.0
1,1.5,0.6,7.0,19.5,11.5,1.0,0.32999999999999996,2.5,8.0,2.0
3,4.0,0.67,9.5,23.5,9.0,0.5,0.41000000000000003,1.5,6.0,3.5
1,1.5,0.51,5.0,23.5,9.0,2.0,0.37,5.5,12.0,5.0
3,2.5,0.625,4.5,20.0,5.0,0.5,0.41000000000000003,1.5,7.5,4.0
0,1.0,0.53,6.0,16.5,5.0,1.5,0.38,2.5,7.0,2.5
3,2.5,0.535,6.5,20.0,4.0,1.0,0.55,1.5,6.0,3.5
3,2.5,0.5449999999999999,6.5,16.5,7.5,0.5,0.41500000000000004,3.5,10.5,5.0
1,1.5,0.42,3.5,10.5,3.5,0.0,0.545,3.5,10.5,2.5
1,1.0,0.4,4.0,11.0,3.0,1.5,0.5700000000000001,6.5,14.5,4.5
1,0.0,0.345,0.5,5.0,2.0,1.0,0.645,5.0,17.5,8.5
0,0.5,0.515,5.0,14.0,6.0,1.0,0.46499999999999997,2.5,10.0,4.0
1,1.3333333333333333,0.5599999999999999,3.0,12.666666666666666,6.0,1.5,0.5075000000000001,3.0,14.5,5.25
3,1.0,0.5033333333333333,4.333333333333333,12.666666666666666,5.333333333333333,0.75,0.47750000000000004,3.75,12.0,7.0
0,1.3333333333333333,0.45999999999999996,4.333333333333333,15.333333333333334,4.333333333333333,2.0,0.5033333333333333,5.333333333333333,12.0,6.0
3,2.0,0.4533333333333333,5.333333333333333,12.333333333333334,4.666666666666667,0.6666666666666666,0.5,4.333333333333333,11.0,6.0
3,1.3333333333333333,0.52,7.0,18.333333333333332,9.333333333333334,0.0,0.5766666666666667,3.3333333333333335,10.333333333333334,2.6666666666666665
0,1.0,0.43999999999999995,4.333333333333333,17.333333333333332,6.666666666666667,0.6666666666666666,0.6333333333333333,6.0,17.333333333333332,9.666666666666666
1,2.3333333333333335,0.51,5.333333333333333,17.0,5.666666666666667,1.6666666666666667,0.48666666666666664,4.333333333333333,16.0,5.666666666666667
3,1.3333333333333333,0.47,4.333333333333333,13.333333333333334,6.333333333333333,1.0,0.6166666666666667,4.666666666666667,14.333333333333334,7.666666666666667
0,2.6666666666666665,0.64,8.666666666666666,24.0,10.333333333333334,1.6666666666666667,0.43,2.6666666666666665,8.0,3.6666666666666665
0,1.0,0.41,4.333333333333333,12.0,6.0,1.0,0.5566666666666666,5.0,12.333333333333334,4.666666666666667
3,1.3333333333333333,0.45999999999999996,4.666666666666667,11.333333333333334,5.666666666666667,1.3333333333333333,0.3933333333333333,2.3333333333333335,7.0,2.6666666666666665
3,3.0,0.6233333333333334,6.0,18.333333333333332,5.0,1.0,0.3466666666666667,3.0,11.333333333333334,2.0
1,0.3333333333333333,0.4666666666666666,2.3333333333333335,12.0,3.6666666666666665,0.6666666666666666,0.5566666666666666,1.3333333333333333,6.333333333333333,3.6666666666666665
3,2.0,0.5766666666666667,8.0,25.666666666666668,10.666666666666666,1.0,0.4633333333333334,2.6666666666666665,10.0,4.333333333333333
3,2.0,0.5625,6.0,21.25,7.75,1.3333333333333333,0.5366666666666666,6.333333333333333,14.333333333333334,5.0
3,2.0,0.59,6.0,18.75,8.5,0.3333333333333333,0.38999999999999996,1.3333333333333333,7.333333333333333,3.0
3,2.3333333333333335,0.45999999999999996,4.0,8.0,4.666666666666667,1.3333333333333333,0.3833333333333333,4.333333333333333,10.333333333333334,4.333333333333333
3,1.6666666666666667,0.5066666666666667,7.666666666666667,18.0,5.0,2.6666666666666665,0.5966666666666667,5.0,15.0,5.666666666666667
1,1.6666666666666667,0.5966666666666667,6.333333333333333,18.333333333333332,9.0,2.3333333333333335,0.35333333333333333,4.666666666666667,10.666666666666666,4.0
1,0.0,0.39666666666666667,2.0,8.666666666666666,4.666666666666667,0.3333333333333333,0.44,3.0,8.333333333333334,5.0
3,2.0,0.46499999999999997,3.5,15.0,4.0,0.6666666666666666,0.4633333333333334,3.6666666666666665,11.0,6.0
3,2.0,0.445,5.0,13.0,3.5,1.3333333333333333,0.49333333333333335,3.3333333333333335,13.666666666666666,5.333333333333333
1,2.5,0.44499999999999995,4.5,6.5,4.0,3.0,0.625,5.0,14.0,6.5
1,2.3333333333333335,0.57,6.333333333333333,17.333333333333332,7.666666666666667,1.5,0.46,4.0,13.0,3.5
1,0.5,0.485,1.5,10.5,4.0,0.5,0.6,5.5,15.5,6.0
3,1.0,0.555,5.5,17.0,6.0,1.5,0.435,2.5,9.5,3.0
3,3.25,0.615,9.0,26.75,10.25,0.0,0.5475,3.0,8.5,2.25
0,1.0,0.55,3.75,13.0,5.75,2.25,0.485,4.75,14.0,5.0
3,2.25,0.5,5.5,16.5,5.75,2.0,0.5800000000000001,4.25,13.5,5.75
3,2.25,0.48250000000000004,6.75,17.0,5.5,1.6,0.524,3.0,13.8,4.8
3,2.5,0.625,6.0,16.75,5.5,0.75,0.44,3.25,11.75,5.0
1,1.25,0.43,4.5,13.5,6.25,1.0,0.545,2.25,7.25,3.5
3,1.25,0.4975,4.25,16.5,5.5,0.25,0.39,1.75,8.0,3.25
0,1.75,0.42,3.0,7.75,4.0,1.75,0.5775,6.5,15.0,6.0
3,0.75,0.4625,3.0,11.5,4.5,0.75,0.5125,4.0,12.0,5.75
0,0.0,0.4175,2.25,10.0,4.0,2.0,0.5075000000000001,5.5,12.5,5.5
0,1.5,0.485,6.75,17.25,8.5,1.25,0.63,7.75,19.75,10.25
3,1.25,0.4775,4.75,17.75,6.25,1.25,0.39,4.5,11.0,4.5
3,2.0,0.53,7.0,22.0,9.0,1.0,0.5700000000000001,4.25,12.0,5.0
0,0.75,0.495,3.5,12.0,5.5,1.0,0.595,5.5,15.75,7.0
3,2.0,0.6,6.2,20.2,9.2,2.0,0.355,4.25,10.0,3.75
3,2.5,0.5025,5.75,14.0,5.25,0.25,0.4175,2.25,6.5,4.5
0,1.25,0.52,5.0,15.25,6.25,1.25,0.3425,3.0,10.25,2.25
0,1.0,0.475,4.0,10.75,5.25,0.8,0.47800000000000004,3.6,12.0,6.0
3,2.0,0.5975,7.75,19.0,9.0,1.25,0.395,3.0,8.75,4.5
3,1.8,0.556,6.6,21.8,8.0,1.25,0.44,2.75,7.75,4.5
3,3.2,0.584,8.0,23.8,8.4,1.4,0.612,7.6,19.0,9.0
3,2.2,0.49800000000000005,6.2,16.8,7.2,0.4,0.4,2.2,8.0,3.4
3,1.4,0.47000000000000003,4.8,17.0,5.6,0.2,0.55,2.8,9.0,2.4
0,1.6,0.418,3.0,8.0,4.4,2.0,0.40199999999999997,4.2,11.8,3.2
3,2.2,0.516,5.4,14.4,5.2,1.0,0.40199999999999997,2.4,8.2,4.4
3,0.6,0.434,3.0,11.0,4.0,1.2,0.41200000000000003,4.0,10.6,4.6
1,0.6,0.45199999999999996,2.8,10.4,3.8,1.3333333333333333,0.535,3.3333333333333335,14.0,5.166666666666667
3,1.2,0.516,4.0,12.2,6.2,1.4,0.354,3.8,12.4,3.0
3,1.6,0.512,6.2,15.8,6.4,2.0,0.492,4.8,13.2,5.0
0,2.0,0.614,4.8,15.2,5.0,1.2,0.542,4.6,12.8,5.6
1,0.8,0.476,3.4,12.0,5.6,1.0,0.45600000000000007,3.0,8.0,3.8
3,2.0,0.56,6.8,17.6,9.8,0.8,0.594,6.0,16.6,6.8
3,1.2,0.54,3.8,13.6,6.0,0.8,0.45199999999999996,3.0,11.2,4.6
3,1.8333333333333333,0.57,7.333333333333333,22.166666666666668,7.5,0.6666666666666666,0.4583333333333333,3.8333333333333335,12.166666666666666,5.833333333333333
0,1.6,0.542,6.2,20.6,8.2,1.0,0.518,2.2,7.2,3.8
1,1.2,0.47400000000000003,4.8,13.8,6.2,0.4,0.404,2.0,6.8,5.4
0,1.1666666666666667,0.5066666666666667,4.0,11.833333333333334,6.333333333333333,2.0,0.5,5.166666666666667,14.833333333333334,5.5
3,1.8333333333333333,0.5566666666666666,6.666666666666667,17.666666666666668,8.833333333333334,0.3333333333333333,0.41,2.3333333333333335,8.5,3.3333333333333335
0,1.8333333333333333,0.6166666666666667,4.5,15.166666666666666,5.0,1.5,0.5716666666666667,7.5,17.5,7.833333333333333
3,1.8,0.466,6.4,16.6,7.8,1.0,0.4816666666666667,3.6666666666666665,9.833333333333334,3.6666666666666665
3,1.6,0.49399999999999994,4.0,15.0,5.0,1.5,0.38166666666666665,4.333333333333333,13.833333333333334,3.5
3,1.1666666666666667,0.5383333333333333,3.6666666666666665,13.666666666666666,6.666666666666667,0.3333333333333333,0.415,1.6666666666666667,6.833333333333333,5.0
3,1.6666666666666667,0.5116666666666667,5.833333333333333,15.166666666666666,6.5,1.8,0.562,3.8,12.6,6.0
0,1.3333333333333333,0.41333333333333333,2.8333333333333335,8.333333333333334,5.0,1.4285714285714286,0.5457142857142857,3.4285714285714284,13.857142857142858,5.0
0,1.3333333333333333,0.47833333333333333,4.833333333333333,17.333333333333332,5.666666666666667,1.3333333333333333,0.5316666666666666,4.833333333333333,12.5,5.333333333333333
1,0.6666666666666666,0.415,2.6666666666666665,10.666666666666666,3.6666666666666665,1.6,0.5980000000000001,6.6,15.6,6.8
0,2.0,0.505,5.333333333333333,14.5,5.833333333333333,1.0,0.5866666666666667,5.5,15.5,6.333333333333333
3,1.8571428571428572,0.5771428571428572,6.714285714285714,21.285714285714285,7.571428571428571,1.1666666666666667,0.4066666666666667,3.3333333333333335,10.166666666666666,4.666666666666667
3,2.0,0.49833333333333335,6.0,18.666666666666668,7.666666666666667,0.8333333333333334,0.515,2.1666666666666665,7.333333333333333,3.6666666666666665
1,1.6666666666666667,0.555,6.333333333333333,20.5,8.0,1.0,0.48600000000000004,4.0,11.4,5.8
3,1.8571428571428572,0.5628571428571428,6.428571428571429,17.0,9.428571428571429,1.2857142857142858,0.3842857142857143,4.142857142857143,13.285714285714286,3.7142857142857144
1,1.5714285714285714,0.5257142857142857,5.714285714285714,15.714285714285714,6.571428571428571,0.625,0.43625,3.375,11.5,5.125
0,1.7142857142857142,0.5214285714285715,5.857142857142857,18.714285714285715,8.0,1.4285714285714286,0.3971428571428572,3.7142857142857144,10.142857142857142,5.285714285714286
1,1.1428571428571428,0.4114285714285714,2.7142857142857144,8.428571428571429,4.857142857142857,1.7142857142857142,0.5142857142857143,6.0,16.714285714285715,6.0
0,0.7142857142857143,0.4657142857142857,3.2857142857142856,12.285714285714286,5.0,1.8333333333333333,0.5366666666666666,5.666666666666667,12.5,5.833333333333333
1,2.6666666666666665,0.5950000000000001,8.0,23.166666666666668,9.0,0.5714285714285714,0.4428571428571429,3.4285714285714284,12.0,5.285714285714286
1,1.1428571428571428,0.5042857142857142,4.0,12.714285714285714,6.571428571428571,0.8571428571428571,0.5142857142857143,1.8571428571428572,7.714285714285714,3.857142857142857
3,2.4285714285714284,0.6257142857142857,6.285714285714286,20.142857142857142,9.428571428571429,0.42857142857142855,0.4014285714285714,2.0,6.571428571428571,4.714285714285714
0,0.8333333333333334,0.47333333333333333,3.3333333333333335,12.166666666666666,5.333333333333333,2.1666666666666665,0.425,4.5,11.833333333333334,3.0
3,2.3333333333333335,0.6166666666666667,6.166666666666667,21.166666666666668,9.5,1.0,0.385,2.3333333333333335,7.666666666666667,4.166666666666667
3,2.6,0.528,6.2,17.4,6.4,0.6666666666666666,0.4366666666666667,2.6666666666666665,10.166666666666666,4.166666666666667
1,0.8333333333333334,0.435,3.0,10.666666666666666,3.5,0.5,0.5666666666666667,3.5,10.5,2.8333333333333335
