result,dif_goal,dif_possession,dif_shot_on_goal,dif_shot,dif_corner
0,-1.0,0.0,-1.0,4.0,-2.0
3,3.0,0.32,8.0,21.0,4.0
0,-1.0,0.28,-1.0,19.0,12.0
1,0.0,-0.12000000000000005,4.0,3.0,0.0
3,3.0,-0.040000000000000036,4.0,7.0,-1.0
3,1.0,0.0,3.0,8.0,8.0
3,2.0,0.36000000000000004,8.0,27.0,9.0
0,-4.0,0.06000000000000005,-7.0,-7.0,-5.0
1,0.0,0.37999999999999995,1.0,16.0,1.0
3,3.0,0.24,5.0,15.0,5.0
0,-1.0,-0.10000000000000003,1.0,8.0,5.0
1,-0.5,0.15500000000000003,-0.5,11.5,5.0
1,0.0,0.10000000000000003,0.0,4.0,1.0
1,0.0,-0.020000000000000018,-5.0,-4.0,-2.0
0,-4.0,-0.13999999999999996,-1.0,-1.0,-1.0
3,0.33333333333333326,0.043333333333333335,0.5,10.333333333333332,1.0
1,0.5,0.27,4.5,11.5,9.5
3,1.0,0.13999999999999996,4.0,-4.0,4.0
1,0.0,0.10000000000000003,2.0,14.0,6.0
0,-0.5,0.15000000000000002,3.5,9.5,2.5
1,-0.5,0.11499999999999999,5.0,19.5,5.5
1,-0.5,0.14,-0.5,11.5,4.0
0,-1.0,0.020000000000000018,1.0,1.0,4.0
1,-0.5,0.0,-1.0,1.5,0.5
3,2.0,0.21499999999999997,3.0,12.5,1.0
0,-0.5,0.295,-0.5,6.0,2.5
3,3.5,0.26,8.0,17.5,5.5
3,1.5,-0.015000000000000013,5.0,14.0,0.5
1,0.0,-0.24,-7.0,-14.0,-4.0
3,1.0,-0.08000000000000002,2.0,2.0,2.0
0,-2.0,-0.19999999999999996,-3.0,-9.0,-5.0
3,2.0,0.1299999999999999,3.0,6.0,2.5
1,-1.0,-0.30000000000000004,-4.5,-12.5,-6.5
1,1.5,-0.12500000000000006,0.0,0.0,1.0
1,-0.5,-0.17000000000000004,-2.5,-3.5,-1.5
1,-0.5,-0.18000000000000005,-0.5,-7.5,-2.5
1,-0.16666666666666674,0.05249999999999988,0.0,-1.833333333333334,0.75
0,-0.5,0.050000000000000044,2.5,4.0,2.0
3,1.3333333333333333,-0.05666666666666664,3.6666666666666665,7.999999999999998,6.666666666666668
0,-0.6666666666666667,-0.043333333333333335,-1.0,3.333333333333334,-1.666666666666667
1,0.6666666666666667,0.023333333333333373,1.0,1.0,0.0
3,1.6666666666666667,0.2,4.666666666666667,11.416666666666668,5.5
0,0.33333333333333337,-0.19333333333333336,-1.666666666666667,0.0,-2.999999999999999
3,0.25,0.025833333333333264,0.583333333333333,0.6666666666666661,-1.666666666666667
3,-0.9999999999999998,-0.08999999999999997,2.666666666666667,3.0,-0.666666666666667
3,1.0000000000000002,0.07666666666666666,-0.33333333333333304,-2.333333333333334,0.3333333333333339
1,-0.6666666666666667,0.24333333333333335,1.666666666666666,7.666666666666666,5.0
3,0.0,0.06666666666666665,2.3333333333333335,4.333333333333334,3.0000000000000004
3,0.33333333333333326,-0.14666666666666672,-0.3333333333333339,-1.0,-1.333333333333334
1,-0.3333333333333333,-0.043333333333333335,-1.0,0.33333333333333215,-0.33333333333333304
1,-0.3333333333333333,-0.09000000000000002,1.0000000000000002,5.666666666666667,0.0
3,1.0,0.11333333333333329,5.333333333333334,15.666666666666668,6.333333333333333
3,2.0,0.2766666666666667,3.0,6.999999999999998,3.0
3,1.3333333333333335,-0.04666666666666669,1.0,1.333333333333334,-1.333333333333333
3,0.6666666666666667,-0.04833333333333334,1.6666666666666665,-0.6666666666666661,-1.833333333333333
0,0.0,-0.14666666666666667,-0.666666666666667,-0.3333333333333339,1.333333333333333
1,0.8333333333333335,0.10999999999999993,2.333333333333333,4.333333333333332,4.166666666666667
3,0.6666666666666667,0.025833333333333375,-0.33333333333333304,6.916666666666666,2.75
3,1.3333333333333335,0.0016666666666665941,-0.16666666666666652,4.0,-2.0
1,0.0,-0.11499999999999999,-4.0,-5.0,-2.0
3,-0.5,0.12000000000000005,3.0,7.5,3.0
0,0.9999999999999998,0.21000000000000002,6.0,16.0,6.666666666666668
3,3.25,0.0675,6.0,18.25,8.0
0,0.25,-0.14500000000000002,-1.0,-2.5,-1.75
3,0.0,-0.04999999999999993,-1.0,-0.5,-1.25
0,0.0,-0.15750000000000003,-3.5,-7.25,-2.0
3,1.0,0.10749999999999998,2.5,8.5,2.25
3,0.0,0.08749999999999997,0.25,6.75,1.75
3,0.6499999999999999,-0.04149999999999998,3.75,3.1999999999999993,0.7000000000000002
3,0.25,-0.08000000000000007,1.25,3.0,0.0
0,-2.0,-0.09000000000000008,-3.25,-2.5,-1.5
1,0.25,-0.11500000000000005,2.25,6.25,2.75
3,0.75,0.2025,4.75,10.25,4.5
3,0.0,0.245,1.9500000000000002,10.2,5.449999999999999
3,1.0,-0.040000000000000036,2.75,10.0,4.0
0,-1.25,0.06500000000000006,-1.0,-1.0,0.75
3,1.75,0.185,2.75,5.0,0.5
3,2.25,0.08499999999999996,3.5,7.5,0.75
0,0.19999999999999996,-0.003000000000000058,0.3999999999999999,-1.25,-0.75
0,0.0,0.1775,2.0,5.0,4.0
0,-0.25,-0.09999999999999998,-2.0,-3.75,-1.5
3,0.55,0.11600000000000005,3.8499999999999996,14.05,3.5
3,1.2000000000000002,0.11400000000000005,3.0000000000000004,6.200000000000001,0.7999999999999998
0,0.8,0.07199999999999995,0.20000000000000018,2.3999999999999986,-0.5999999999999996
3,1.1666666666666665,0.11166666666666664,3.4999999999999996,10.000000000000002,1.666666666666667
3,1.8000000000000003,-0.028000000000000025,0.40000000000000036,4.800000000000001,-0.5999999999999996
3,1.8000000000000003,0.09800000000000003,4.0,8.8,3.8000000000000003
3,1.2,-0.08000000000000002,2.0,8.0,3.1999999999999997
1,-0.19999999999999996,0.019999999999999907,0.3999999999999999,4.0,1.7999999999999998
3,1.2,-0.03399999999999992,0.7999999999999998,1.0,3.000000000000001
3,0.3999999999999999,0.08800000000000008,0.7999999999999998,2.4000000000000004,1.4000000000000004
3,-0.3999999999999999,0.020000000000000018,1.4000000000000004,2.6000000000000014,1.4000000000000004
0,0.6000000000000001,0.02400000000000002,4.0,13.400000000000002,4.3999999999999995
1,0.7999999999999999,0.07,2.8,7.000000000000001,0.7999999999999998
3,-0.19999999999999996,0.16200000000000003,0.20000000000000018,-0.20000000000000107,3.2
3,-0.6,0.021999999999999964,-1.0,0.40000000000000036,-0.5999999999999996
0,-0.3999999999999999,0.016000000000000014,-1.2000000000000002,-3.8000000000000007,1.2000000000000002
1,-0.7333333333333333,-0.08300000000000007,-0.5333333333333337,-3.5999999999999996,-1.3666666666666671
3,0.10000000000000009,0.11233333333333329,-0.33333333333333304,1.166666666666666,1.5
0,1.0,-0.08166666666666667,-0.16666666666666696,-1.0,-0.5
3,1.5,0.14666666666666667,4.333333333333334,9.166666666666668,5.5
0,-0.8333333333333333,0.00666666666666671,-1.166666666666667,-3.0,0.833333333333333
1,0.33333333333333337,-0.13166666666666665,-0.5,0.16666666666666607,0.6666666666666665
3,0.8333333333333335,0.12333333333333335,1.9999999999999998,6.833333333333333,1.666666666666667
0,-0.09523809523809534,-0.13238095238095238,-0.5952380952380949,-5.523809523809524,0.0
1,-0.9333333333333335,-0.1830000000000001,-3.933333333333333,-4.933333333333334,-3.1333333333333333
3,0.8,-0.015666666666666662,2.733333333333334,6.7666666666666675,4.133333333333333
0,-1.333333333333333,0.04833333333333334,-1.1666666666666665,0.33333333333333215,2.333333333333333
0,-1.119047619047619,-0.07095238095238093,-2.3809523809523814,-0.21428571428571352,-0.833333333333333
3,0.5714285714285714,0.17857142857142855,2.2857142857142856,3.7142857142857135,5.714285714285714
1,-0.5714285714285714,-0.10285714285714292,-3.2857142857142856,-8.285714285714286,-1.1428571428571432
0,0.0,-0.05333333333333329,0.0,4.833333333333332,0.3333333333333339
0,-0.6666666666666667,-0.046666666666666745,-0.6666666666666665,1.0,-0.6666666666666661
1,-0.023809523809523947,-0.11238095238095236,-0.04761904761904745,2.6904761904761916,1.1190476190476186
